Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
142,Tim Frazier\\fraziti01,PG,28,NOP,9,2,123,9,28,.321,4,13,.308,5,15,.333,.393,1,3,.333,4,9,13,22,2,1,8,18,23\
143,Channing Frye\\fryech01,C,35,CLE,1,1,21,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,4,4,1,0,0,0,4,5\
144,Markelle Fultz\\fultzma01,SG,20,PHI,14,14,340,54,128,.422,4,13,.308,50,115,.435,.438,18,30,.600,20,35,55,48,16,4,19,40,130\
145,Danilo Gallinari\\gallida01,SF,30,LAC,12,12,363,72,166,.434,28,63,.444,44,103,.427,.518,61,63,.968,14,56,70,20,6,4,14,27,233\
146,Langston Galloway\\gallola01,SG,27,DET,11,0,264,35,80,.438,19,56,.339,16,24,.667,.556,13,16,.813,8,24,32,13,4,2,5,20,102\
147,Marc Gasol\\gasolma01,C,34,MEM,11,11,369,54,133,.406,18,39,.462,36,94,.383,.474,36,46,.783,15,86,101,48,22,8,17,29,162\
148,Pau Gasol\\gasolpa01,C,38,SAS,9,0,157,22,43,.512,4,7,.571,18,36,.500,.558,13,18,.722,11,44,55,30,1,9,7,16,61\
149,Rudy Gay\\gayru01,SF,32,SAS,8,7,224,45,92,.489,9,16,.563,36,76,.474,.538,7,11,.636,10,53,63,16,9,4,17,20,106\
150,Paul George\\georgpa01,SF,28,OKC,12,12,427,89,230,.387,34,104,.327,55,126,.437,.461,50,64,.781,14,77,91,53,33,7,36,34,262\
151,Taj Gibson\\gibsota01,PF,33,MIN,13,13,357,60,114,.526,7,17,.412,53,97,.546,.557,16,24,.667,40,53,93,19,15,11,13,38,143\
152,Harry Giles\\gilesha01,PF,20,SAC,9,0,87,15,41,.366,0,1,.000,15,40,.375,.366,2,7,.286,7,17,24,5,4,2,11,20,32\
153,Shai Gilgeous-Alexander\\gilgesh01,PG,20,LAC,12,3,323,40,88,.455,7,14,.500,33,74,.446,.494,28,33,.848,9,29,38,39,10,9,22,25,115\
154,Rudy Gobert\\goberru01,C,26,UTA,12,12,407,75,104,.721,0,0,,75,104,.721,.721,47,77,.610,42,117,159,16,12,28,21,39,197\
155,Aaron Gordon\\gordoaa01,PF,23,ORL,12,12,396,74,160,.463,21,55,.382,53,105,.505,.528,27,40,.675,25,72,97,30,10,9,22,34,196\
156,Eric Gordon\\gordoer01,SG,30,HOU,9,5,294,49,152,.322,18,78,.231,31,74,.419,.382,21,24,.875,6,26,32,14,4,6,11,19,137\
157,Marcin Gortat\\gortama01,C,34,LAC,9,9,152,13,30,.433,0,0,,13,30,.433,.433,9,11,.818,13,35,48,14,0,6,11,22,35\
158,Devonte' Graham\\grahade01,PG,23,CHO,3,0,19,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,2,2,3,0,0,1,2,7\
159,Treveon Graham\\grahatr01,SG,25,BRK,2,0,27,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,3,4,1,1,0,2,5,0\
160,Jerami Grant\\grantje01,PF,24,OKC,12,9,359,47,99,.475,11,36,.306,36,63,.571,.530,30,44,.682,12,48,60,18,13,13,12,35,135\
161,Jerian Grant\\grantje02,PG,26,ORL,13,0,271,29,68,.426,11,28,.393,18,40,.450,.507,5,11,.455,7,23,30,47,18,2,19,23,74\
162,Danny Green\\greenda02,SG,31,TOR,13,13,375,45,103,.437,35,78,.449,10,25,.400,.607,5,5,1.000,10,43,53,18,17,12,18,27,130\
