Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
240,Zach LaVine\\lavinza01,SG,23,CHI,13,13,469,120,263,.456,29,83,.349,91,180,.506,.511,84,98,.857,4,64,68,51,13,9,49,35,353\
241,Jake Layman\\laymaja01,SF,24,POR,13,13,189,30,53,.566,11,24,.458,19,29,.655,.670,1,2,.500,9,24,33,4,7,5,8,12,72\
242,T.J. Leaf\\leaftj01,PF,21,IND,8,0,60,5,19,.263,1,4,.250,4,15,.267,.289,0,0,,3,8,11,3,0,1,2,3,11\
243,Damion Lee\\leeda03,SG,26,GSW,4,0,24,3,8,.375,2,3,.667,1,5,.200,.500,3,4,.750,0,3,3,0,2,0,1,8,11\
244,Alex Len\\lenal01,C,25,ATL,13,13,282,54,106,.509,8,27,.296,46,79,.582,.547,19,30,.633,22,50,72,16,6,14,26,36,135\
245,Kawhi Leonard\\leonaka01,SF,27,TOR,9,9,292,76,157,.484,15,36,.417,61,121,.504,.532,53,60,.883,12,59,71,29,15,4,19,12,220\
246,Meyers Leonard\\leoname01,C,26,POR,10,0,113,14,32,.438,7,18,.389,7,14,.500,.547,13,13,1.000,11,29,40,9,3,1,10,17,48\
247,Jon Leuer\\leuerjo01,PF,29,DET,4,0,37,4,9,.444,0,2,.000,4,7,.571,.444,2,4,.500,3,7,10,0,1,0,0,3,10\
248,Caris LeVert\\leverca01,SF,24,BRK,13,13,400,92,193,.477,19,58,.328,73,135,.541,.526,44,61,.721,11,44,55,48,17,5,29,31,247\
249,Damian Lillard\\lillada01,PG,28,POR,13,13,441,112,241,.465,35,94,.372,77,147,.524,.537,79,84,.940,10,55,65,76,10,4,28,18,338\
250,Jeremy Lin\\linje01,PG,30,ATL,13,0,218,37,82,.451,9,27,.333,28,55,.509,.506,40,45,.889,1,21,22,34,10,1,24,20,123\
251,Shaun Livingston\\livinsh01,PG,33,GSW,4,0,57,9,16,.563,0,0,,9,16,.563,.563,4,4,1.000,7,7,14,4,3,0,3,6,22\
252,Zach Lofton\\loftoza01,SG,26,DET,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,1,0,1,0,0\
253,Kevon Looney\\looneke01,C,22,GSW,13,0,221,30,46,.652,0,0,,30,46,.652,.652,15,20,.750,25,39,64,17,3,10,10,30,75\
254,Brook Lopez\\lopezbr01,C,30,MIL,13,13,348,58,125,.464,39,93,.419,19,32,.594,.620,14,14,1.000,5,37,42,15,6,23,10,28,169\
255,Robin Lopez\\lopezro01,C,30,CHI,7,0,107,8,19,.421,0,0,,8,19,.421,.421,1,1,1.000,9,5,14,10,1,8,9,14,17\
256,Kevin Love\\loveke01,PF,30,CLE,4,4,136,21,65,.323,7,24,.292,14,41,.341,.377,27,33,.818,10,44,54,14,1,1,10,14,76\
257,Kyle Lowry\\lowryky01,PG,32,TOR,13,13,435,78,157,.497,32,83,.386,46,74,.622,.599,35,43,.814,9,45,54,143,20,6,35,30,223\
258,Jordan Loyd\\loydjo01,PG,25,TOR,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,0,0\
259,Timothe Luwawu-Cabarrot\\luwawti01,SF,23,OKC,5,0,7,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,1,0\
260,Tyler Lydon\\lydonty01,PF,22,DEN,4,0,10,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,1,0,1,0,0,0,0,1,3\
261,Trey Lyles\\lylestr01,PF,23,DEN,13,0,280,53,123,.431,10,44,.227,43,79,.544,.472,26,37,.703,10,58,68,23,9,6,20,24,142\
262,Shelvin Mack\\macksh01,PG,28,MEM,11,0,284,47,87,.540,14,27,.519,33,60,.550,.621,18,26,.692,4,20,24,39,12,1,15,16,126\
263,Daryl Macon\\maconda01,SG,23,DAL,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0\
264,Ian Mahinmi\\mahinia01,C,32,WAS,8,6,120,9,19,.474,0,2,.000,9,17,.529,.474,17,26,.654,11,18,29,3,4,4,6,24,35\
265,Thon Maker\\makerth01,C,21,MIL,5,0,58,12,23,.522,4,12,.333,8,11,.727,.609,2,4,.500,2,15,17,2,1,3,2,6,30\
266,Boban Marjanovic\\marjabo01,C,30,LAC,12,3,142,34,54,.630,0,1,.000,34,53,.642,.630,27,38,.711,17,46,63,8,4,12,13,24,95\
267,Jarell Martin\\martija01,PF,24,ORL,8,1,102,10,34,.294,1,12,.083,9,22,.409,.309,5,5,1.000,3,18,21,8,2,3,4,11,26\
268,Frank Mason\\masonfr01,PG,24,SAC,12,0,186,28,69,.406,6,26,.231,22,43,.512,.449,18,25,.720,2,18,20,44,7,2,12,13,80\
269,Wesley Matthews\\matthwe02,SG,32,DAL,12,12,401,67,159,.421,33,87,.379,34,72,.472,.525,35,44,.795,7,25,32,31,9,1,15,30,202\
270,Luc Mbah a Moute\\mbahalu01,PF,32,LAC,4,0,61,8,18,.444,2,6,.333,6,12,.500,.500,2,5,.400,2,5,7,2,1,1,2,8,20\
271,CJ McCollum\\mccolcj01,SG,27,POR,13,13,424,101,224,.451,28,80,.350,73,144,.507,.513,36,43,.837,15,38,53,32,9,4,21,27,266\
272,T.J. McConnell\\mccontj01,PG,26,PHI,11,0,161,23,38,.605,0,2,.000,23,36,.639,.605,4,4,1.000,1,19,20,32,4,3,11,10,50\
273,Doug McDermott\\mcderdo01,SF,27,IND,14,0,213,25,52,.481,16,38,.421,9,14,.643,.635,8,10,.800,3,13,16,10,6,0,4,22,74\
274,JaVale McGee\\mcgeeja01,C,31,LAL,13,13,336,78,126,.619,1,3,.333,77,123,.626,.623,21,33,.636,38,58,96,14,11,39,21,36,178\
275,Rodney McGruder\\mcgruro01,SG,27,MIA,12,12,405,59,128,.461,27,58,.466,32,70,.457,.566,18,25,.720,13,54,67,44,10,3,17,37,163\
276,Alfonzo McKinnie\\mckinal01,SF,26,GSW,13,0,211,34,65,.523,13,27,.481,21,38,.553,.623,5,10,.500,18,34,52,7,3,3,4,28,86\
277,Ben McLemore\\mclembe01,SG,25,SAC,5,0,24,4,11,.364,4,9,.444,0,2,.000,.545,0,2,.000,0,0,0,1,0,0,1,3,12\
278,Jordan McRae\\mcraejo01,SG,27,WAS,4,0,22,1,7,.143,0,2,.000,1,5,.200,.143,0,0,,0,4,4,2,0,1,0,0,2\
279,Salah Mejri\\mejrisa01,C,32,DAL,2,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,0,0,0,1,3,0\
280,De'Anthony Melton\\meltode01,PG,20,PHO,2,0,22,3,12,.250,1,6,.167,2,6,.333,.292,0,0,,0,2,2,1,3,1,2,5,7\
281,Chimezie Metu\\metuch01,PF,21,SAS,6,0,33,2,10,.200,0,1,.000,2,9,.222,.200,4,4,1.000,3,5,8,1,2,2,4,1,8\
282,Khris Middleton\\middlkh01,SF,27,MIL,13,13,398,82,181,.453,45,97,.464,37,84,.440,.577,38,43,.884,7,58,65,54,17,3,32,38,247\
283,C.J. Miles\\milescj01,SF,31,TOR,12,0,188,20,66,.303,11,43,.256,9,23,.391,.386,9,14,.643,5,19,24,11,5,6,7,24,60\
284,Darius Miller\\milleda01,SF,28,NOP,8,0,133,15,30,.500,13,25,.520,2,5,.400,.717,1,1,1.000,1,4,5,10,4,0,5,19,44\
285,Patty Mills\\millspa02,PG,30,SAS,11,0,305,39,93,.419,22,51,.431,17,42,.405,.538,12,16,.750,4,35,39,21,4,3,14,19,112\
286,Paul Millsap\\millspa01,PF,33,DEN,13,13,348,56,125,.448,12,30,.400,44,95,.463,.496,41,59,.695,31,66,97,21,12,15,21,29,165\
287,Nikola Mirotic\\mirotni01,PF,27,NOP,11,11,345,86,178,.483,25,76,.329,61,102,.598,.553,30,41,.732,28,101,129,14,9,6,14,24,227\
288,Donovan Mitchell\\mitchdo01,SG,22,UTA,10,10,345,83,192,.432,22,71,.310,61,121,.504,.490,35,44,.795,4,25,29,45,18,2,26,24,223\
289,Naz Mitrou-Long\\mitrona01,SG,25,UTA,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0\
290,Malik Monk\\monkma01,SG,20,CHO,13,0,301,57,151,.377,27,81,.333,30,70,.429,.467,22,25,.880,4,21,25,35,6,4,17,27,163\
291,Greg Monroe\\monrogr01,C,28,TOR,5,0,25,5,11,.455,0,1,.000,5,10,.500,.455,0,0,,4,5,9,1,0,0,2,3,10\
292,E'Twaun Moore\\mooreet01,SF,29,NOP,12,12,364,64,119,.538,18,38,.474,46,81,.568,.613,17,22,.773,12,12,24,25,7,6,13,33,163\
293,Marcus Morris\\morrima03,PF,29,BOS,13,0,335,69,137,.504,31,64,.484,38,73,.521,.617,24,28,.857,9,79,88,15,8,3,26,37,193\
294,Markieff Morris\\morrima02,PF,29,WAS,11,11,278,41,95,.432,13,41,.317,28,54,.519,.500,16,19,.842,8,41,49,24,5,9,17,35,111\
295,Monte Morris\\morrimo01,PG,23,DEN,13,0,286,41,100,.410,10,26,.385,31,74,.419,.460,12,15,.800,5,28,33,50,13,1,5,15,104\
296,Emmanuel Mudiay\\mudiaem01,PG,22,NYK,7,0,137,22,49,.449,4,13,.308,18,36,.500,.490,4,9,.444,8,13,21,14,7,3,10,13,52\
297,Jamal Murray\\murraja01,PG,21,DEN,13,13,438,89,203,.438,18,62,.290,71,141,.504,.483,38,42,.905,12,44,56,48,14,4,27,29,234\
298,Dzanan Musa\\musadz01,SG,19,BRK,4,0,18,5,10,.500,0,4,.000,5,6,.833,.500,0,2,.000,1,1,2,1,2,0,2,1,10\
299,Mike Muscala\\muscami01,PF,27,PHI,8,0,165,17,40,.425,10,29,.345,7,11,.636,.550,15,15,1.000,8,22,30,10,1,4,12,19,59\
300,Svi Mykhailiuk\\mykhasv01,SF,21,LAL,6,0,64,4,15,.267,1,7,.143,3,8,.375,.300,1,4,.250,2,2,4,9,2,0,3,4,10\
301,Abdel Nader\\naderab01,SF,25,OKC,5,0,9,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,2,0,2,1,2\
302,Larry Nance\\nancela02,C,26,CLE,10,1,206,30,67,.448,0,3,.000,30,64,.469,.448,13,21,.619,18,43,61,25,11,6,12,29,73\
303,Shabazz Napier\\napiesh01,PG,27,BRK,9,0,137,21,56,.375,12,27,.444,9,29,.310,.482,20,26,.769,3,8,11,18,6,1,7,11,74\
304,Georges Niang\\niangge01,PF,25,UTA,12,0,98,15,30,.500,10,21,.476,5,9,.556,.667,5,5,1.000,3,16,19,5,3,1,4,12,45\
305,Nerlens Noel\\noelne01,C,24,OKC,12,1,167,26,41,.634,0,0,,26,41,.634,.634,13,19,.684,26,37,63,5,13,16,5,35,65\
306,Frank Ntilikina\\ntilila01,PG,20,NYK,14,14,364,38,110,.345,15,52,.288,23,58,.397,.414,11,12,.917,1,24,25,49,17,6,26,40,102\
307,James Nunnally\\nunnaja01,SF,28,MIN,5,0,39,5,12,.417,2,7,.286,3,5,.600,.500,4,4,1.000,0,3,3,3,1,0,1,3,16\
308,Jusuf Nurkic\\nurkiju01,C,24,POR,13,13,324,77,147,.524,2,15,.133,75,132,.568,.531,43,54,.796,51,85,136,25,8,13,30,40,199\
309,David Nwaba\\nwabada01,SG,26,CLE,8,0,74,5,16,.313,1,5,.200,4,11,.364,.344,13,16,.813,0,10,10,3,2,4,1,3,24\
310,Royce O'Neale\\onealro01,SF,25,UTA,12,1,185,23,48,.479,4,10,.400,19,38,.500,.521,7,9,.778,4,26,30,14,4,0,12,19,57\
311,Kyle O'Quinn\\oquinky01,C,28,IND,8,0,50,11,22,.500,0,2,.000,11,20,.550,.500,6,6,1.000,6,12,18,9,1,4,4,10,28\
312,Semi Ojeleye\\ojelese01,PF,24,BOS,9,1,66,7,16,.438,3,10,.300,4,6,.667,.531,2,5,.400,2,7,9,0,2,1,0,8,19\
313,Jahlil Okafor\\okafoja01,C,23,NOP,7,2,58,12,26,.462,0,0,,12,26,.462,.462,6,6,1.000,10,8,18,1,0,0,6,10,30\
314,Elie Okobo\\okoboel01,PG,21,PHO,10,1,153,22,59,.373,7,25,.280,15,34,.441,.432,13,14,.929,2,14,16,20,3,1,11,22,64\
315,Josh Okogie\\okogijo01,SG,20,MIN,11,7,290,34,94,.362,8,35,.229,26,59,.441,.404,17,21,.810,11,34,45,13,11,4,15,26,93\
316,Victor Oladipo\\oladivi01,SG,26,IND,14,14,483,126,280,.450,36,105,.343,90,175,.514,.514,45,64,.703,8,92,100,69,25,7,33,32,333\
317,Kelly Olynyk\\olynyke01,PF,27,MIA,12,5,226,33,69,.478,15,46,.326,18,23,.783,.587,26,33,.788,8,28,36,28,6,5,15,28,107\
318,Cedi Osman\\osmande01,SF,23,CLE,11,11,337,46,124,.371,17,51,.333,29,73,.397,.440,16,21,.762,11,44,55,28,8,3,31,22,125\
319,Kelly Oubre\\oubreke01,SF,23,WAS,12,1,314,53,125,.424,18,59,.305,35,66,.530,.496,32,38,.842,9,45,54,7,9,8,17,28,156\
320,Zaza Pachulia\\pachuza01,C,34,DET,12,0,166,13,37,.351,0,0,,13,37,.351,.351,22,28,.786,22,29,51,17,10,3,11,31,48\
321,Jabari Parker\\parkeja01,PF,23,CHI,13,6,404,77,171,.450,11,41,.268,66,130,.508,.482,26,37,.703,14,73,87,26,7,6,33,24,191\
322,Tony Parker\\parketo01,PG,36,CHO,12,0,226,52,108,.481,5,12,.417,47,96,.490,.505,20,28,.714,2,18,20,54,3,1,16,14,129\
323,Chandler Parsons\\parsoch01,SF,30,MEM,3,3,46,7,17,.412,3,10,.300,4,7,.571,.500,0,0,,1,3,4,2,1,1,2,7,17\
324,Patrick Patterson\\pattepa01,PF,29,OKC,12,3,205,26,66,.394,16,42,.381,10,24,.417,.515,9,14,.643,11,30,41,3,3,4,5,16,77\
325,Chris Paul\\paulch01,PG,33,HOU,10,10,355,60,148,.405,20,59,.339,40,89,.449,.473,33,43,.767,8,44,52,79,26,3,30,29,173\
326,Cameron Payne\\payneca01,PG,24,CHI,12,11,290,39,98,.398,12,38,.316,27,60,.450,.459,14,15,.933,8,17,25,41,11,3,19,24,104\
327,Elfrid Payton\\paytoel01,PG,24,NOP,5,5,144,24,48,.500,3,7,.429,21,41,.512,.531,7,11,.636,7,23,30,32,4,1,11,14,58\
328,Theo Pinson\\pinsoth01,SG,23,BRK,2,0,10,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,1,1,3,0,0,0,0,2\
329,Mason Plumlee\\plumlma01,C,28,DEN,13,0,226,38,61,.623,1,3,.333,37,58,.638,.631,11,31,.355,24,36,60,19,14,7,18,38,88\
330,Miles Plumlee\\plumlmi01,C,30,ATL,8,0,88,22,28,.786,0,0,,22,28,.786,.786,7,14,.500,13,14,27,9,4,1,5,9,51\
331,Jakob Poeltl\\poeltja01,C,23,SAS,7,3,70,5,12,.417,0,0,,5,12,.417,.417,3,4,.750,16,8,24,6,1,1,2,8,13\
332,Quincy Pondexter\\pondequ01,SF,30,SAS,8,0,65,6,12,.500,1,4,.250,5,8,.625,.542,10,13,.769,3,9,12,2,5,0,3,9,23\
333,Otto Porter\\porteot01,SF,25,WAS,11,11,315,46,103,.447,16,44,.364,30,59,.508,.524,9,11,.818,9,43,52,16,17,8,7,18,117\
334,Bobby Portis\\portibo01,PF,23,CHI,4,4,113,17,41,.415,3,11,.273,14,30,.467,.451,5,9,.556,6,34,40,8,2,4,5,14,42\
335,Dwight Powell\\poweldw01,C,27,DAL,12,0,179,36,54,.667,3,13,.231,33,41,.805,.694,28,36,.778,12,31,43,11,9,6,11,31,103\
336,Norman Powell\\powelno01,SG,25,TOR,11,2,164,20,42,.476,9,22,.409,11,20,.550,.583,6,8,.750,2,20,22,10,5,1,8,17,55\
337,Alex Poythress\\poythal01,PF,25,ATL,10,0,139,19,36,.528,5,10,.500,14,26,.538,.597,7,15,.467,14,20,34,7,2,3,7,26,50\
338,Zhou Qi\\qizh01,PF,23,HOU,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2\
339,Ivan Rabb\\rabbiv01,PF,21,MEM,7,0,50,8,12,.667,0,1,.000,8,11,.727,.667,3,5,.600,3,14,17,5,1,1,8,8,19\
340,Julius Randle\\randlju01,C,24,NOP,12,2,303,79,142,.556,8,24,.333,71,118,.602,.585,50,71,.704,24,71,95,28,8,9,30,39,216\
341,J.J. Redick\\redicjj01,SG,34,PHI,14,1,436,79,196,.403,41,117,.350,38,79,.481,.508,45,48,.938,5,30,35,47,4,1,23,18,244\
342,Josh Richardson\\richajo01,SG,25,MIA,12,12,418,88,208,.423,34,82,.415,54,126,.429,.505,39,45,.867,13,35,48,42,14,10,27,41,249\
343,Malachi Richardson\\richama01,SG,23,TOR,7,0,35,2,10,.200,2,10,.200,0,0,,.300,1,2,.500,1,3,4,0,0,0,1,4,7\
344,Austin Rivers\\riverau01,SG,26,WAS,12,0,281,31,73,.425,12,38,.316,19,35,.543,.507,11,17,.647,3,24,27,22,7,5,17,29,85\
345,Duncan Robinson\\robindu01,PF,24,MIA,2,0,15,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,5,5,0,1,0,0,0,3\
346,Glenn Robinson\\robingl02,SF,25,DET,11,4,189,24,56,.429,7,23,.304,17,33,.515,.491,14,15,.933,2,15,17,3,4,4,7,11,69\
347,Jerome Robinson\\robinje01,SG,21,LAC,7,0,35,8,17,.471,4,8,.500,4,9,.444,.588,0,0,,0,3,3,1,0,0,1,5,20\
348,Mitchell Robinson\\robinmi01,C,20,NYK,12,9,222,25,40,.625,0,0,,25,40,.625,.625,11,18,.611,26,26,52,4,9,22,4,28,61\
349,Rajon Rondo\\rondora01,PG,32,LAL,10,2,262,40,84,.476,9,20,.450,31,64,.484,.530,4,8,.500,10,38,48,68,11,0,24,25,93\
350,Derrick Rose\\rosede01,PG,30,MIN,12,4,351,83,181,.459,21,45,.467,62,136,.456,.517,39,48,.813,13,31,44,56,7,2,24,20,226\
351,Terrence Ross\\rosste01,SG,27,ORL,13,0,328,66,155,.426,28,79,.354,38,76,.500,.516,12,15,.800,4,32,36,27,14,8,18,30,172\
352,Terry Rozier\\roziete01,PG,24,BOS,13,1,303,40,104,.385,20,47,.426,20,57,.351,.481,14,17,.824,5,51,56,26,8,5,7,20,114\
353,Ricky Rubio\\rubiori01,PG,28,UTA,12,12,371,42,124,.339,14,50,.280,28,74,.378,.395,33,37,.892,3,36,39,95,17,2,40,39,131\
354,D'Angelo Russell\\russeda01,PG,22,BRK,13,13,349,76,186,.409,28,77,.364,48,109,.440,.484,24,30,.800,8,40,48,66,13,4,28,23,204\
355,Domantas Sabonis\\sabondo01,C,22,IND,13,0,313,71,104,.683,1,2,.500,70,102,.686,.688,40,53,.755,33,82,115,32,6,9,27,37,183\
356,Dario Saric\\saricda01,PF,24,PHI,13,13,396,48,132,.364,21,70,.300,27,62,.435,.443,27,30,.900,21,65,86,26,4,3,25,39,144\
357,Tomas Satoransky\\satorto01,SG,27,WAS,12,0,139,10,32,.313,3,7,.429,7,25,.280,.359,14,14,1.000,4,15,19,23,3,2,5,14,37\
358,Dennis Schroder\\schrode01,PG,25,OKC,12,5,352,75,177,.424,12,43,.279,63,134,.470,.458,38,48,.792,9,45,54,58,13,2,36,34,200\
359,Mike Scott\\scottmi01,PF,30,LAC,12,0,164,20,40,.500,12,27,.444,8,13,.615,.650,0,0,,2,31,33,14,5,2,4,25,52\
360,Thabo Sefolosha\\sefolth01,SF,34,UTA,2,0,9,0,2,.000,0,2,.000,0,0,,.000,1,2,.500,1,2,3,2,1,0,0,1,1\
361,Wayne Selden\\seldewa01,SG,24,MEM,11,0,170,26,52,.500,13,26,.500,13,26,.500,.625,7,9,.778,2,9,11,10,4,1,9,20,72\
362,Collin Sexton\\sextoco01,PG,20,CLE,12,2,306,50,116,.431,6,15,.400,44,101,.436,.457,34,37,.919,8,21,29,26,5,2,25,30,140\
363,Landry Shamet\\shamela01,SG,21,PHI,14,2,301,34,91,.374,23,69,.333,11,22,.500,.500,11,14,.786,3,13,16,16,9,3,8,20,102\
364,Iman Shumpert\\shumpim01,SG,28,SAC,11,9,269,36,86,.419,21,55,.382,15,31,.484,.541,10,12,.833,2,32,34,22,11,4,8,28,103\
365,Pascal Siakam\\siakapa01,PF,24,TOR,13,12,363,71,112,.634,6,22,.273,65,90,.722,.661,25,33,.758,20,67,87,27,15,5,21,35,173\
366,Ben Simmons\\simmobe01,PG,22,PHI,13,13,420,78,148,.527,0,0,,78,148,.527,.527,39,63,.619,30,95,125,101,19,11,45,39,195\
367,Jonathon Simmons\\simmojo02,SG,29,ORL,11,0,246,27,90,.300,4,28,.143,23,62,.371,.322,22,26,.846,9,20,29,27,5,6,15,22,80\
368,Anfernee Simons\\simonan01,SG,19,POR,2,0,3,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,1,2\
369,Marcus Smart\\smartma01,SG,24,BOS,13,0,316,21,64,.328,10,40,.250,11,24,.458,.406,18,25,.720,9,28,37,56,17,8,19,35,70\
370,Dennis Smith\\smithde03,PG,21,DAL,11,11,323,65,144,.451,17,41,.415,48,103,.466,.510,24,34,.706,9,20,29,43,11,4,37,33,171\
371,Ish Smith\\smithis01,PG,30,DET,12,0,329,49,117,.419,16,49,.327,33,68,.485,.487,5,7,.714,1,25,26,40,9,4,15,35,119\
372,J.R. Smith\\smithjr01,SG,33,CLE,8,2,153,18,51,.353,9,27,.333,9,24,.375,.441,8,8,1.000,0,13,13,13,10,2,9,15,53\
373,Jason Smith\\smithja02,C,32,WAS,8,1,98,12,28,.429,2,5,.400,10,23,.435,.464,7,8,.875,10,19,29,8,1,5,4,15,33\
374,Tony Snell\\snellto01,SG,27,MIL,13,0,211,31,60,.517,17,35,.486,14,25,.560,.658,7,9,.778,3,20,23,12,5,2,3,15,86\
375,Ray Spalding\\spaldra01,PF,21,DAL,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0\
376,Omari Spellman\\spellom01,PF,21,ATL,12,5,247,33,78,.423,13,35,.371,20,43,.465,.506,10,14,.714,25,40,65,15,6,7,8,21,89\
377,Nik Stauskas\\stausni01,SG,25,POR,13,0,247,34,83,.410,19,48,.396,15,35,.429,.524,15,16,.938,5,26,31,25,5,2,12,13,102\
378,Lance Stephenson\\stephla01,SG,28,LAL,13,0,215,47,99,.475,15,35,.429,32,64,.500,.551,7,9,.778,8,36,44,25,11,1,18,26,116\
379,Edmond Sumner\\sumneed01,PG,23,IND,5,0,20,1,4,.250,0,1,.000,1,3,.333,.250,0,2,.000,1,0,1,1,1,0,1,3,2\
380,Caleb Swanigan\\swanica01,PF,21,POR,7,0,80,9,27,.333,1,3,.333,8,24,.333,.352,4,5,.800,10,25,35,3,2,0,9,14,23\
381,Jayson Tatum\\tatumja01,SF,20,BOS,13,13,428,71,172,.413,22,57,.386,49,115,.426,.477,45,50,.900,18,73,91,33,12,7,23,34,209\
382,Jeff Teague\\teaguje01,PG,30,MIN,7,7,212,28,78,.359,7,22,.318,21,56,.375,.404,26,28,.929,1,16,17,48,6,1,13,18,89\
383,Garrett Temple\\templga01,SG,32,MEM,11,11,348,48,101,.475,21,49,.429,27,52,.519,.579,24,30,.800,5,31,36,11,11,3,12,29,141\
384,Milos Teodosic\\teodomi01,PG,31,LAC,7,0,73,8,13,.615,6,10,.600,2,3,.667,.846,1,2,.500,2,10,12,17,1,1,9,12,23\
385,Jared Terrell\\terreja01,SG,23,MIN,1,0,21,1,8,.125,1,2,.500,0,6,.000,.188,1,2,.500,0,1,1,1,2,1,2,2,4\
386,Daniel Theis\\theisda01,C,26,BOS,6,0,66,13,24,.542,2,6,.333,11,18,.611,.583,2,3,.667,7,12,19,4,0,1,5,14,30\
387,Khyri Thomas\\thomakh01,G,22,DET,1,0,4,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,0,0,0,0,0,1,0,3\
388,Lance Thomas\\thomala01,PF,30,NYK,11,5,167,14,41,.341,5,17,.294,9,24,.375,.402,10,11,.909,4,20,24,6,7,3,6,22,43\
389,Klay Thompson\\thompkl01,SG,28,GSW,13,13,425,109,230,.474,31,87,.356,78,143,.545,.541,24,31,.774,6,41,47,21,11,8,23,28,273\
390,Tristan Thompson\\thomptr01,C,27,CLE,12,12,341,56,106,.528,0,0,,56,106,.528,.528,10,19,.526,53,69,122,22,9,4,17,21,122\
391,Sindarius Thornwell\\thornsi01,G,24,LAC,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,1,1,0\
392,Anthony Tolliver\\tollian01,PF,33,MIN,13,0,252,24,54,.444,20,48,.417,4,6,.667,.630,7,12,.583,5,28,33,10,6,8,9,28,75\
393,Karl-Anthony Towns\\townska01,C,23,MIN,13,13,433,89,194,.459,26,64,.406,63,130,.485,.526,55,60,.917,38,103,141,27,12,27,39,44,259\
394,Gary Trent\\trentga02,SG,20,POR,1,0,7,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,2,2,0,0,0,1,0,2\
395,Allonzo Trier\\trieral01,SG,23,NYK,14,1,334,53,110,.482,9,23,.391,44,87,.506,.523,44,50,.880,9,30,39,20,8,8,27,24,159\
396,P.J. Tucker\\tuckepj01,PF,33,HOU,12,12,431,34,76,.447,27,58,.466,7,18,.389,.625,7,10,.700,16,50,66,14,17,6,9,36,102\
397,Evan Turner\\turneev01,PG,30,POR,13,0,332,53,108,.491,4,20,.200,49,88,.557,.509,15,23,.652,5,61,66,54,11,4,26,30,125\
398,Myles Turner\\turnemy01,C,22,IND,14,14,373,62,128,.484,2,16,.125,60,112,.536,.492,27,34,.794,19,48,67,16,5,34,21,43,153\
399,Ekpe Udoh\\udohek01,C,31,UTA,8,0,41,2,2,1.000,0,0,,2,2,1.000,1.000,4,6,.667,1,6,7,3,1,5,3,6,8\
400,Tyler Ulis\\ulisty01,PG,23,CHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0\
401,Jonas Valanciunas\\valanjo01,C,26,TOR,13,5,249,67,122,.549,6,16,.375,61,106,.575,.574,40,49,.816,26,73,99,14,9,14,13,40,180\
402,Fred VanVleet\\vanvlfr01,PG,24,TOR,9,0,214,33,86,.384,11,38,.289,22,48,.458,.448,12,18,.667,3,21,24,41,5,1,15,21,89\
403,Noah Vonleh\\vonleno01,PF,23,NYK,14,9,312,35,74,.473,5,16,.313,30,58,.517,.507,29,39,.744,31,85,116,22,9,12,20,37,104\
404,Nikola Vucevic\\vucevni01,C,28,ORL,13,13,384,101,185,.546,11,25,.440,90,160,.563,.576,22,29,.759,35,107,142,45,14,17,28,26,235\
405,Dwyane Wade\\wadedw01,SG,37,MIA,9,0,231,49,109,.450,15,36,.417,34,73,.466,.518,16,27,.593,12,24,36,26,4,4,24,19,129\
406,Kemba Walker\\walkeke02,PG,28,CHO,13,13,444,124,271,.458,51,133,.383,73,138,.529,.552,64,74,.865,5,51,56,82,11,4,26,18,363\
407,John Wall\\walljo01,PG,28,WAS,12,12,433,95,208,.457,17,57,.298,78,151,.517,.498,55,77,.714,7,33,40,97,28,12,45,31,262\
408,Tyrone Wallace\\wallaty01,PG,24,LAC,7,0,32,6,12,.500,0,0,,6,12,.500,.500,3,5,.600,0,3,3,2,0,0,1,2,15\
409,Taurean Waller-Prince\\princta02,SF,24,ATL,12,11,340,64,154,.416,29,83,.349,35,71,.493,.510,27,31,.871,3,57,60,33,16,3,41,38,184\
